ValorLiq;OrgCompras;TipoDoc;Centro;CriadorPedido;Primeiro Gerência de Linha;Primeiro getPessoa.Gerência;TipoContrato;Ptnct;GrupoMerc;Itens não alterados
5;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
5;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
5;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
5;OC1;Tipo2;Centro17;Criador3;Linha3;Gerencia3;tipocon2;Não;GM11;1
5;OC1;Tipo1;Centro18;Criador3;Linha3;Gerencia3;tipocon1;Não;GM13;1
5;OC1;Tipo2;Centro9;Criador3;Linha3;Gerencia3;tipocon2;Não;GM3;0
5;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
6;OC1;Tipo1;Centro19;Criador3;Linha3;Gerencia3;tipocon1;Não;GM5;1
6;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
6;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
6;OC1;Tipo2;Centro20;Criador10;Linha2;Gerencia6;tipocon2;Não;GM14;0
6;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
6;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM15;1
6;OC2;Tipo2;Centro3;Criador11;Linha2;Gerencia5;tipocon2;Sim;GM7;0
6;OC1;Tipo1;Centro3;Criador12;Linha4;Gerencia4;tipocon1;Não;GM11;1
6;OC1;Tipo2;Centro21;Criador13;Linha1;Gerencia7;tipocon2;Não;GM16;1
6;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
6;OC1;Tipo1;Centro22;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
7;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
7;OC1;Tipo1;Centro13;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
7;OC2;Tipo2;Centro3;Criador14;Linha2;Gerencia5;tipocon2;Sim;GM11;0
7;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
7;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
7;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
7;OC3;Tipo2;Centro23;Criador15;Linha2;Gerencia5;tipocon2;Sim;GM18;1
7;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
7;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM19;0
7;OC1;Tipo1;Centro11;Criador5;Linha2;Gerencia2;tipocon1;Não;GM4;0
7;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
7;OC1;Tipo1;Centro14;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;1
7;OC1;Tipo1;Centro24;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
7;OC1;Tipo1;Centro20;Criador5;Linha2;Gerencia2;tipocon1;Não;GM9;1
7;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
7;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM7;1
8;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM20;1
8;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM7;0
8;OC1;Tipo1;Centro8;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
8;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
8;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM21;1
8;OC1;Tipo2;Centro17;Criador3;Linha3;Gerencia3;tipocon2;Não;GM11;1
8;OC4;Tipo2;Centro8;Criador16;Linha2;Gerencia5;tipocon2;Sim;GM11;1
8;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM4;0
8;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
8;OC1;Tipo2;Centro17;Criador3;Linha3;Gerencia3;tipocon2;Não;GM11;1
8;OC1;Tipo1;Centro23;Criador17;Linha3;Gerencia3;tipocon1;Não;GM22;0
8;OC1;Tipo1;Centro9;Criador6;Linha2;Gerencia2;tipocon1;Não;GM23;1
8;OC1;Tipo1;Centro24;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
9;OC1;Tipo1;Centro22;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
9;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
9;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
9;OC2;Tipo2;Centro6;Criador18;Linha3;Gerencia3;tipocon2;Sim;GM3;1
9;OC1;Tipo2;Centro16;Criador3;Linha3;Gerencia3;tipocon2;Não;GM24;0
9;OC2;Tipo2;Centro16;Criador19;Linha2;Gerencia5;tipocon2;Sim;GM25;1
9;OC1;Tipo2;Centro26;Criador3;Linha3;Gerencia3;tipocon2;Não;GM7;0
9;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
9;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
9;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM26;1
9;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
10;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM4;1
10;OC1;Tipo1;Centro11;Criador5;Linha2;Gerencia2;tipocon1;Não;GM4;0
10;OC1;Tipo1;Centro4;Criador20;Linha3;Gerencia3;tipocon1;Não;GM21;0
10;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
10;OC1;Tipo1;Centro11;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
11;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
11;OC1;Tipo1;Centro25;Criador21;Linha5;Gerencia8;tipocon1;Não;GM13;0
11;OC1;Tipo1;Centro25;Criador7;Linha4;Gerencia4;tipocon1;Não;GM27;1
11;OC4;Tipo2;Centro13;Criador22;Linha2;Gerencia5;tipocon2;Sim;GM3;0
11;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM28;1
11;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM23;1
11;OC1;Tipo1;Centro26;Criador1;Linha1;Gerencia1;tipocon1;Não;GM5;0
11;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;1
11;OC1;Tipo2;Centro7;Criador9;Linha2;Gerencia5;tipocon2;Não;GM29;1
11;OC1;Tipo1;Centro27;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
11;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;1
11;OC1;Tipo1;Centro8;Criador23;Linha6;Gerencia9;tipocon1;Não;GM30;0
11;OC1;Tipo1;Centro4;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
12;OC1;Tipo1;Centro16;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;1
12;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
12;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
12;OC1;Tipo1;Centro24;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
12;OC1;Tipo1;Centro5;Criador3;Linha3;Gerencia3;tipocon1;Não;GM31;0
12;OC1;Tipo1;Centro5;Criador7;Linha4;Gerencia4;tipocon1;Não;GM32;0
12;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM33;1
12;OC1;Tipo1;Centro16;Criador12;Linha4;Gerencia4;tipocon1;Não;GM34;1
12;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
12;OC1;Tipo1;Centro8;Criador5;Linha2;Gerencia2;tipocon1;Não;GM4;0
13;OC1;Tipo1;Centro1;Criador3;Linha3;Gerencia3;tipocon1;Não;GM4;1
13;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM5;1
13;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM5;1
13;OC1;Tipo2;Centro26;Criador3;Linha3;Gerencia3;tipocon2;Não;GM35;1
13;OC1;Tipo2;Centro22;Criador24;Linha2;Gerencia5;tipocon2;Não;GM36;0
13;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM37;0
13;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
13;OC1;Tipo2;Centro11;Criador25;Linha7;Gerencia10;tipocon2;Não;GM38;0
13;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
13;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
13;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
13;OC1;Tipo1;Centro3;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;0
13;OC1;Tipo1;Centro11;Criador3;Linha3;Gerencia3;tipocon1;Não;GM39;1
13;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;1
14;OC1;Tipo1;Centro7;Criador3;Linha3;Gerencia3;tipocon1;Não;GM41;1
14;OC4;Tipo2;Centro28;Criador26;Linha2;Gerencia5;tipocon2;Sim;GM42;1
14;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM43;1
14;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM44;1
14;OC1;Tipo1;Centro16;Criador1;Linha1;Gerencia1;tipocon1;Não;GM45;0
14;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM20;1
14;OC1;Tipo2;Centro20;Criador10;Linha2;Gerencia6;tipocon2;Não;GM14;1
14;OC1;Tipo1;Centro26;Criador5;Linha2;Gerencia2;tipocon1;Não;GM6;0
14;OC4;Tipo2;Centro13;Criador22;Linha2;Gerencia5;tipocon2;Sim;GM3;1
14;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM46;1
14;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
14;OC1;Tipo2;Centro4;Criador27;Linha2;Gerencia6;tipocon2;Não;GM38;1
14;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
14;OC1;Tipo1;Centro29;Criador28;Linha1;Gerencia1;tipocon1;Não;GM47;1
14;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
15;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM48;1
15;OC1;Tipo1;Centro5;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;1
15;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM3;1
15;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM20;1
15;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM7;0
15;OC1;Tipo1;Centro30;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
15;OC1;Tipo2;Centro8;Criador29;Linha2;Gerencia6;tipocon2;Não;GM38;1
15;OC1;Tipo1;Centro4;Criador20;Linha3;Gerencia3;tipocon1;Não;GM21;0
15;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
16;OC1;Tipo1;Centro16;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;1
16;OC1;Tipo1;Centro4;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
16;OC1;Tipo1;Centro31;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
17;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM49;0
17;OC1;Tipo1;Centro11;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
17;OC1;Tipo1;Centro32;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
17;OC1;Tipo1;Centro5;Criador3;Linha3;Gerencia3;tipocon1;Não;GM50;1
17;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
17;OC1;Tipo2;Centro33;Criador30;Linha1;Gerencia11;tipocon2;Não;GM51;0
18;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
18;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM31;0
18;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM41;1
18;OC2;Tipo2;Centro21;Criador31;Linha2;Gerencia5;tipocon2;Sim;GM52;1
18;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
18;OC2;Tipo2;Centro3;Criador32;Linha2;Gerencia5;tipocon2;Sim;GM7;0
18;OC2;Tipo2;Centro30;Criador33;Linha2;Gerencia5;tipocon2;Sim;GM25;0
18;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;0
18;OC1;Tipo1;Centro33;Criador1;Linha1;Gerencia1;tipocon1;Não;GM1;1
19;OC1;Tipo1;Centro25;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
19;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;0
19;OC1;Tipo1;Centro7;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
19;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM53;1
19;OC1;Tipo1;Centro14;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;1
19;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
19;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM5;1
19;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM5;1
19;OC4;Tipo2;Centro4;Criador34;Linha3;Gerencia3;tipocon2;Sim;GM54;1
19;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
19;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM55;1
19;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
19;OC1;Tipo1;Centro1;Criador3;Linha3;Gerencia3;tipocon1;Não;GM13;1
20;OC1;Tipo2;Centro28;Criador3;Linha3;Gerencia3;tipocon2;Não;GM4;1
20;OC1;Tipo1;Centro16;Criador6;Linha2;Gerencia2;tipocon1;Não;GM56;0
20;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
20;OC2;Tipo2;Centro7;Criador14;Linha2;Gerencia5;tipocon2;Sim;GM35;1
20;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;0
20;OC1;Tipo2;Centro20;Criador10;Linha2;Gerencia6;tipocon2;Não;GM13;1
20;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
20;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;0
20;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;0
20;OC1;Tipo2;Centro8;Criador29;Linha2;Gerencia6;tipocon2;Não;GM38;1
20;OC1;Tipo2;Centro14;Criador3;Linha3;Gerencia3;tipocon2;Não;GM57;0
21;OC1;Tipo2;Centro20;Criador10;Linha2;Gerencia6;tipocon2;Não;GM13;0
21;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM58;0
21;OC1;Tipo1;Centro25;Criador6;Linha2;Gerencia2;tipocon1;Não;GM2;1
21;OC1;Tipo1;Centro11;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
21;OC1;Tipo1;Centro16;Criador1;Linha1;Gerencia1;tipocon1;Não;GM5;1
21;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM59;1
21;OC1;Tipo1;Centro11;Criador3;Linha3;Gerencia3;tipocon1;Não;GM60;0
21;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM37;1
21;OC1;Tipo1;Centro5;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;0
21;OC1;Tipo2;Centro7;Criador3;Linha3;Gerencia3;tipocon2;Não;GM3;0
22;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
22;OC1;Tipo1;Centro4;Criador1;Linha1;Gerencia1;tipocon1;Não;GM61;1
22;OC1;Tipo1;Centro24;Criador12;Linha4;Gerencia4;tipocon1;Não;GM62;1
22;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;1
22;OC2;Tipo2;Centro3;Criador35;Linha2;Gerencia5;tipocon2;Sim;GM29;1
22;OC1;Tipo1;Centro34;Criador1;Linha1;Gerencia1;tipocon1;Não;GM63;1
22;OC1;Tipo1;Centro29;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;1
22;OC1;Tipo1;Centro24;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
22;OC1;Tipo1;Centro5;Criador4;Linha2;Gerencia2;tipocon1;Não;GM64;1
22;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM26;1
22;OC1;Tipo1;Centro4;Criador12;Linha4;Gerencia4;tipocon1;Não;GM62;0
22;OC1;Tipo1;Centro5;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
23;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
23;OC1;Tipo1;Centro8;Criador23;Linha6;Gerencia9;tipocon1;Não;GM30;0
23;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM65;1
23;OC1;Tipo2;Centro7;Criador3;Linha3;Gerencia3;tipocon2;Não;GM66;0
23;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
23;OC1;Tipo1;Centro25;Criador3;Linha3;Gerencia3;tipocon1;Não;GM67;1
24;OC1;Tipo1;Centro24;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
24;OC1;Tipo1;Centro28;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
24;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;1
24;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
24;OC1;Tipo1;Centro35;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;0
24;OC1;Tipo1;Centro36;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;1
24;OC1;Tipo1;Centro23;Criador1;Linha1;Gerencia1;tipocon1;Não;GM68;1
24;OC1;Tipo1;Centro30;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
24;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
24;OC1;Tipo1;Centro26;Criador3;Linha3;Gerencia3;tipocon1;Não;GM69;1
24;OC1;Tipo1;Centro16;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;1
24;OC1;Tipo1;Centro5;Criador7;Linha4;Gerencia4;tipocon1;Não;GM32;0
24;OC1;Tipo1;Centro13;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
24;OC1;Tipo1;Centro37;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
25;OC3;Tipo2;Centro38;Criador36;Linha2;Gerencia5;tipocon2;Sim;GM29;0
25;OC1;Tipo1;Centro8;Criador1;Linha1;Gerencia1;tipocon1;Não;GM63;1
25;OC1;Tipo1;Centro29;Criador6;Linha2;Gerencia2;tipocon1;Não;GM17;1
25;OC1;Tipo1;Centro27;Criador7;Linha4;Gerencia4;tipocon1;Não;GM27;0
25;OC4;Tipo2;Centro4;Criador37;Linha3;Gerencia3;tipocon2;Sim;GM3;1
25;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM7;1
25;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;1
25;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;0
25;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
25;OC2;Tipo2;Centro7;Criador38;Linha2;Gerencia5;tipocon2;Sim;GM35;0
26;OC1;Tipo2;Centro20;Criador10;Linha2;Gerencia6;tipocon2;Não;GM13;0
26;OC1;Tipo1;Centro4;Criador20;Linha3;Gerencia3;tipocon1;Não;GM21;0
26;OC1;Tipo1;Centro32;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;0
26;OC1;Tipo1;Centro16;Criador3;Linha3;Gerencia3;tipocon1;Não;GM17;0
26;OC1;Tipo1;Centro11;Criador3;Linha3;Gerencia3;tipocon1;Não;GM70;1
26;OC1;Tipo2;Centro39;Criador39;Linha2;Gerencia6;tipocon2;Não;GM2;1
26;OC1;Tipo1;Centro16;Criador2;Linha2;Gerencia2;tipocon1;Não;GM17;0
26;OC1;Tipo1;Centro34;Criador40;Linha1;Gerencia1;tipocon1;Não;GM71;1
26;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM12;0
27;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM72;1
27;OC1;Tipo1;Centro14;Criador6;Linha2;Gerencia2;tipocon1;Não;GM2;1
27;OC1;Tipo1;Centro26;Criador5;Linha2;Gerencia2;tipocon1;Não;GM6;0
27;OC1;Tipo1;Centro25;Criador6;Linha2;Gerencia2;tipocon1;Não;GM2;1
27;OC1;Tipo2;Centro7;Criador3;Linha3;Gerencia3;tipocon2;Não;GM73;1
27;OC1;Tipo1;Centro11;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
27;OC1;Tipo2;Centro25;Criador3;Linha3;Gerencia3;tipocon2;Não;GM74;0
27;OC2;Tipo2;Centro22;Criador41;Linha2;Gerencia5;tipocon2;Sim;GM75;0
27;OC2;Tipo2;Centro40;Criador26;Linha2;Gerencia5;tipocon2;Sim;GM76;0
27;OC2;Tipo2;Centro1;Criador42;Linha2;Gerencia5;tipocon2;Sim;GM76;1
27;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
27;OC1;Tipo1;Centro9;Criador7;Linha4;Gerencia4;tipocon1;Não;GM27;1
28;OC1;Tipo1;Centro16;Criador2;Linha2;Gerencia2;tipocon1;Não;GM17;0
28;OC1;Tipo1;Centro8;Criador3;Linha3;Gerencia3;tipocon1;Não;GM64;1
28;OC2;Tipo2;Centro6;Criador43;Linha2;Gerencia5;tipocon2;Sim;GM3;0
28;OC1;Tipo1;Centro30;Criador3;Linha3;Gerencia3;tipocon1;Não;GM77;0
28;OC1;Tipo1;Centro28;Criador3;Linha3;Gerencia3;tipocon1;Não;GM40;1
28;OC1;Tipo1;Centro30;Criador3;Linha3;Gerencia3;tipocon1;Não;GM2;1
28;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM53;1
28;OC1;Tipo1;Centro15;Criador28;Linha1;Gerencia1;tipocon1;Não;GM78;0
29;OC1;Tipo2;Centro27;Criador29;Linha2;Gerencia6;tipocon2;Não;GM9;0
29;OC1;Tipo1;Centro41;Criador4;Linha2;Gerencia2;tipocon1;Não;GM4;1
29;OC1;Tipo2;Centro26;Criador3;Linha3;Gerencia3;tipocon2;Não;GM79;0
29;OC4;Tipo2;Centro4;Criador22;Linha2;Gerencia5;tipocon2;Sim;GM54;1
29;OC1;Tipo1;Centro5;Criador3;Linha3;Gerencia3;tipocon1;Não;GM6;1
29;OC1;Tipo2;Centro30;Criador44;Linha2;Gerencia5;tipocon2;Não;GM80;1
29;OC1;Tipo1;Centro22;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
